,year,age,education,religion,happy,political_view,degree_obtained,political_view_id
55128,2012,30.0,14.0,Protestant,Moderately Happy,Moderate,High School,4.0
55129,2012,29.0,18.0,Hinduism,Very Happy,Liberal,Graduate,2.0
55130,2012,69.0,14.0,None,Not Happy,Slightly Liberal,High School,3.0
55131,2012,51.0,18.0,Unknown,Moderately Happy,Slightly Conservative,Graduate,5.0
55132,2012,57.0,16.0,Catholic,Very Happy,Slightly Conservative,Bachelor's,5.0
55133,2012,44.0,16.0,Unknown,Very Happy,Slightly Conservative,Bachelor's,5.0
55134,2012,73.0,16.0,Unknown,Very Happy,Slightly Liberal,Bachelor's,3.0
55135,2012,73.0,16.0,Unknown,Moderately Happy,Moderate,Bachelor's,4.0
55136,2012,68.0,16.0,Unknown,Very Happy,Moderate,Graduate,4.0
55137,2012,84.0,16.0,Protestant,Moderately Happy,Liberal,Bachelor's,2.0
55138,2012,63.0,19.0,None,Very Happy,Moderate,Graduate,4.0
55139,2012,57.0,16.0,Catholic,Moderately Happy,Moderate,Bachelor's,4.0
55140,2012,42.0,16.0,Catholic,Moderately Happy,Slightly Conservative,Bachelor's,5.0
55141,2012,45.0,20.0,None,Very Happy,Moderate,Graduate,4.0
55142,2012,38.0,14.0,None,Very Happy,Liberal,Associate/Junior College,2.0
55143,2012,46.0,20.0,Unknown,Very Happy,Slightly Liberal,Graduate,3.0
55144,2012,51.0,20.0,Other,Moderately Happy,Moderate,Graduate,4.0
55145,2012,41.0,14.0,Protestant,Moderately Happy,Moderate,High School,4.0
55146,2012,75.0,12.0,Protestant,Not Happy,Slightly Liberal,High School,3.0
55147,2012,81.0,8.0,Christian,Moderately Happy,Slightly Conservative,Less Than High School,5.0
55148,2012,41.0,9.0,Protestant,Very Happy,Conservative,Less Than High School,6.0
55149,2012,67.0,19.0,Christian,Not Happy,Moderate,Graduate,4.0
55150,2012,71.0,19.0,Protestant,Moderately Happy,Moderate,Graduate,4.0
55151,2012,35.0,6.0,Islam,Moderately Happy,Moderate,Less Than High School,4.0
55152,2012,45.0,17.0,Catholic,Not Happy,Moderate,Bachelor's,4.0
55153,2012,35.0,16.0,Protestant,Not Happy,Conservative,Bachelor's,6.0
55154,2012,21.0,14.0,Protestant,Not Happy,Conservative,High School,6.0
55155,2012,52.0,11.0,Catholic,Moderately Happy,Slightly Conservative,Less Than High School,5.0
55156,2012,49.0,16.0,Protestant,Moderately Happy,Slightly Liberal,Bachelor's,3.0
55157,2012,46.0,16.0,None,Not Happy,Extremely Liberal,Bachelor's,1.0
55158,2012,51.0,14.0,Catholic,Moderately Happy,Extremely Liberal,High School,1.0
55159,2012,28.0,16.0,None,Moderately Happy,Slightly Liberal,Bachelor's,3.0
55160,2012,81.0,16.0,Protestant,Moderately Happy,Liberal,Graduate,2.0
55161,2012,47.0,17.0,Islam,Moderately Happy,Liberal,Bachelor's,2.0
55162,2012,48.0,14.0,Islam,Not Happy,Liberal,Associate/Junior College,2.0
55163,2012,46.0,16.0,None,Moderately Happy,Moderate,Bachelor's,4.0
55164,2012,68.0,12.0,Catholic,Not Happy,Slightly Conservative,High School,5.0
55165,2012,56.0,16.0,Catholic,Moderately Happy,Slightly Liberal,Bachelor's,3.0
55166,2012,43.0,14.0,Catholic,Moderately Happy,Moderate,High School,4.0
55167,2012,32.0,13.0,Protestant,Very Happy,Extremely Conservative,High School,7.0
55168,2012,23.0,12.0,Catholic,Not Happy,Moderate,Less Than High School,4.0
55169,2012,59.0,12.0,Unknown,Not Happy,Slightly Conservative,High School,5.0
55170,2012,32.0,18.0,None,Moderately Happy,Slightly Liberal,Graduate,3.0
55171,2012,44.0,16.0,None,Very Happy,Liberal,Graduate,2.0
55172,2012,49.0,20.0,None,Moderately Happy,Slightly Liberal,Graduate,3.0
55173,2012,64.0,12.0,None,Moderately Happy,Liberal,High School,2.0
55174,2012,30.0,19.0,Protestant,Very Happy,Moderate,Graduate,4.0
55175,2012,51.0,12.0,Catholic,Not Happy,Liberal,High School,2.0
55176,2012,28.0,17.0,None,Unknown,Liberal,Bachelor's,2.0
55177,2012,84.0,13.0,Catholic,Very Happy,Moderate,High School,4.0
55178,2012,32.0,14.0,Protestant,Very Happy,Conservative,High School,6.0
55179,2012,54.0,18.0,Protestant,Moderately Happy,Liberal,Graduate,2.0
55180,2012,34.0,20.0,None,Moderately Happy,Moderate,Bachelor's,4.0
55181,2012,33.0,16.0,None,Very Happy,Extremely Liberal,Graduate,1.0
55182,2012,48.0,12.0,Catholic,Moderately Happy,Liberal,High School,2.0
55183,2012,52.0,10.0,Catholic,Moderately Happy,Liberal,Less Than High School,2.0
55184,2012,,14.0,Catholic,Not Happy,Liberal,High School,2.0
55185,2012,54.0,16.0,Unknown,Very Happy,Moderate,Bachelor's,4.0
55186,2012,19.0,13.0,Other Eastern Religions,Moderately Happy,Moderate,High School,4.0
55187,2012,41.0,16.0,None,Very Happy,Moderate,Bachelor's,4.0
55188,2012,23.0,17.0,Catholic,Moderately Happy,Liberal,High School,2.0
55189,2012,51.0,12.0,Islam,Not Happy,Conservative,High School,6.0
55190,2012,75.0,16.0,Protestant,Moderately Happy,Liberal,Bachelor's,2.0
55191,2012,,20.0,Catholic,Moderately Happy,Conservative,Graduate,6.0
55192,2012,27.0,12.0,Catholic,Moderately Happy,Slightly Liberal,High School,3.0
55193,2012,24.0,14.0,None,Moderately Happy,Unknown,High School,
55194,2012,26.0,20.0,Catholic,Moderately Happy,Slightly Conservative,Graduate,5.0
55195,2012,47.0,19.0,Unknown,Moderately Happy,Liberal,Graduate,2.0
55196,2012,55.0,13.0,Protestant,Moderately Happy,Conservative,High School,6.0
55197,2012,55.0,18.0,Protestant,Not Happy,Moderate,Graduate,4.0
55198,2012,43.0,17.0,Catholic,Moderately Happy,Liberal,Bachelor's,2.0
55199,2012,46.0,14.0,Protestant,Moderately Happy,Liberal,High School,2.0
55200,2012,71.0,16.0,Protestant,Moderately Happy,Liberal,Bachelor's,2.0
55201,2012,32.0,16.0,Catholic,Moderately Happy,Moderate,Bachelor's,4.0
55202,2012,63.0,17.0,Protestant,Moderately Happy,Moderate,Graduate,4.0
55203,2012,50.0,12.0,Protestant,Moderately Happy,Moderate,High School,4.0
55204,2012,60.0,12.0,Protestant,Very Happy,Slightly Conservative,High School,5.0
55205,2012,33.0,14.0,Catholic,Not Happy,Moderate,Associate/Junior College,4.0
55206,2012,40.0,18.0,None,Moderately Happy,Conservative,Graduate,6.0
55207,2012,68.0,12.0,Catholic,Moderately Happy,Slightly Conservative,High School,5.0
55208,2012,69.0,14.0,Catholic,Moderately Happy,Moderate,Associate/Junior College,4.0
55209,2012,71.0,18.0,Orthodox-Christian,Moderately Happy,Moderate,Graduate,4.0
55210,2012,23.0,15.0,Christian,Very Happy,Moderate,High School,4.0
55211,2012,28.0,16.0,None,Moderately Happy,Moderate,Bachelor's,4.0
55212,2012,49.0,12.0,Protestant,Moderately Happy,Slightly Conservative,High School,5.0
55213,2012,66.0,16.0,Catholic,Not Happy,Moderate,Graduate,4.0
55214,2012,36.0,20.0,Protestant,Moderately Happy,Liberal,Bachelor's,2.0
55215,2012,53.0,19.0,Catholic,Moderately Happy,Liberal,Graduate,2.0
55216,2012,40.0,6.0,Catholic,Not Happy,Slightly Liberal,Less Than High School,3.0
55217,2012,34.0,12.0,Christian,Moderately Happy,Moderate,High School,4.0
55218,2012,58.0,6.0,Catholic,Moderately Happy,Moderate,Less Than High School,4.0
55219,2012,62.0,12.0,Catholic,Not Happy,Liberal,High School,2.0
55220,2012,24.0,12.0,Catholic,Not Happy,Extremely Conservative,High School,7.0
55221,2012,72.0,6.0,Protestant,Very Happy,Extremely Liberal,Less Than High School,1.0
55222,2012,32.0,12.0,Catholic,Not Happy,Moderate,High School,4.0
55223,2012,29.0,16.0,None,Moderately Happy,Liberal,Bachelor's,2.0
55224,2012,34.0,12.0,Protestant,Not Happy,Liberal,High School,2.0
55225,2012,36.0,13.0,Protestant,Moderately Happy,Moderate,High School,4.0
55226,2012,74.0,8.0,Protestant,Moderately Happy,Slightly Conservative,Less Than High School,5.0
55227,2012,49.0,16.0,None,Moderately Happy,Conservative,Bachelor's,6.0
55228,2012,60.0,16.0,None,Moderately Happy,Extremely Liberal,Bachelor's,1.0
55229,2012,78.0,16.0,Protestant,Not Happy,Extremely Conservative,Bachelor's,7.0
55230,2012,39.0,14.0,Christian,Moderately Happy,Moderate,High School,4.0
55231,2012,73.0,16.0,Protestant,Not Happy,Moderate,Bachelor's,4.0
55232,2012,67.0,16.0,Christian,Moderately Happy,Slightly Conservative,Associate/Junior College,5.0
55233,2012,82.0,11.0,Catholic,Not Happy,Conservative,Less Than High School,6.0
55234,2012,64.0,14.0,Catholic,Moderately Happy,Liberal,High School,2.0
55235,2012,61.0,14.0,Catholic,Moderately Happy,Conservative,High School,6.0
55236,2012,22.0,6.0,None,Not Happy,Liberal,Less Than High School,2.0
55237,2012,27.0,14.0,Catholic,Moderately Happy,Moderate,Associate/Junior College,4.0
55238,2012,41.0,14.0,Catholic,Moderately Happy,Moderate,High School,4.0
55239,2012,33.0,9.0,None,Not Happy,Conservative,Less Than High School,6.0
55240,2012,49.0,6.0,Catholic,Moderately Happy,Liberal,Less Than High School,2.0
55241,2012,22.0,11.0,Catholic,Moderately Happy,Liberal,Less Than High School,2.0
55242,2012,42.0,6.0,Catholic,Very Happy,Conservative,Less Than High School,6.0
55243,2012,28.0,11.0,Catholic,Moderately Happy,Moderate,Less Than High School,4.0
55244,2012,66.0,14.0,Protestant,Very Happy,Moderate,High School,4.0
55245,2012,35.0,13.0,None,Not Happy,Extremely Liberal,High School,1.0
55246,2012,52.0,12.0,Catholic,Moderately Happy,Moderate,High School,4.0
55247,2012,63.0,14.0,Other,Moderately Happy,Conservative,High School,6.0
55248,2012,31.0,13.0,None,Very Happy,Moderate,High School,4.0
55249,2012,29.0,17.0,Islam,Very Happy,Liberal,Bachelor's,2.0
55250,2012,50.0,17.0,Protestant,Very Happy,Moderate,Bachelor's,4.0
55251,2012,47.0,12.0,Catholic,Moderately Happy,Slightly Conservative,High School,5.0
55252,2012,65.0,12.0,Protestant,Moderately Happy,Liberal,High School,2.0
55253,2012,62.0,13.0,Unknown,Moderately Happy,Slightly Conservative,High School,5.0
55254,2012,18.0,13.0,Unknown,Moderately Happy,Liberal,High School,2.0
55255,2012,40.0,14.0,None,Not Happy,Extremely Liberal,High School,1.0
55256,2012,28.0,16.0,Catholic,Moderately Happy,Moderate,Bachelor's,4.0
55257,2012,24.0,16.0,Catholic,Moderately Happy,Moderate,Bachelor's,4.0
55258,2012,40.0,16.0,Protestant,Moderately Happy,Moderate,Graduate,4.0
55259,2012,77.0,15.0,Protestant,Very Happy,Liberal,Bachelor's,2.0
55260,2012,24.0,15.0,None,Very Happy,Slightly Liberal,Associate/Junior College,3.0
55261,2012,21.0,14.0,None,Moderately Happy,Moderate,High School,4.0
55262,2012,22.0,15.0,Protestant,Very Happy,Slightly Conservative,High School,5.0
55263,2012,24.0,16.0,Catholic,Very Happy,Moderate,Associate/Junior College,4.0
55264,2012,22.0,11.0,Catholic,Very Happy,Unknown,High School,
55265,2012,21.0,15.0,None,Very Happy,Slightly Conservative,High School,5.0
55266,2012,67.0,16.0,Protestant,Moderately Happy,Liberal,Graduate,2.0
55267,2012,32.0,19.0,Christian,Very Happy,Conservative,Bachelor's,6.0
55268,2012,38.0,9.0,Catholic,Moderately Happy,Extremely Conservative,Less Than High School,7.0
55269,2012,55.0,12.0,Catholic,Moderately Happy,Conservative,High School,6.0
55270,2012,40.0,14.0,Catholic,Not Happy,Moderate,High School,4.0
55271,2012,38.0,11.0,Protestant,Very Happy,Conservative,High School,6.0
55272,2012,52.0,13.0,Other Eastern Religions,Moderately Happy,Moderate,High School,4.0
55273,2012,34.0,16.0,Protestant,Moderately Happy,Moderate,Bachelor's,4.0
55274,2012,22.0,16.0,Protestant,Moderately Happy,Slightly Liberal,Bachelor's,3.0
55275,2012,56.0,17.0,None,Very Happy,Moderate,Bachelor's,4.0
55276,2012,60.0,12.0,Catholic,Moderately Happy,Slightly Conservative,High School,5.0
55277,2012,39.0,16.0,Catholic,Very Happy,Slightly Conservative,Bachelor's,5.0
55278,2012,33.0,16.0,Protestant,Moderately Happy,Slightly Conservative,Bachelor's,5.0
55279,2012,67.0,12.0,Protestant,Moderately Happy,Moderate,High School,4.0
55280,2012,51.0,12.0,None,Moderately Happy,Slightly Conservative,High School,5.0
55281,2012,65.0,12.0,None,Not Happy,Liberal,High School,2.0
55282,2012,42.0,16.0,None,Moderately Happy,Slightly Conservative,Bachelor's,5.0
55283,2012,65.0,12.0,Catholic,Not Happy,Moderate,High School,4.0
55284,2012,25.0,13.0,Protestant,Very Happy,Moderate,High School,4.0
55285,2012,36.0,12.0,Protestant,Moderately Happy,Slightly Conservative,High School,5.0
55286,2012,38.0,14.0,Protestant,Very Happy,Liberal,High School,2.0
55287,2012,18.0,12.0,Christian,Moderately Happy,Slightly Liberal,High School,3.0
55288,2012,38.0,9.0,Catholic,Very Happy,Extremely Liberal,Less Than High School,1.0
55289,2012,41.0,9.0,Catholic,Very Happy,Slightly Liberal,Less Than High School,3.0
55290,2012,20.0,14.0,None,Moderately Happy,Liberal,High School,2.0
55291,2012,39.0,16.0,None,Moderately Happy,Extremely Liberal,Bachelor's,1.0
55292,2012,25.0,17.0,Catholic,Moderately Happy,Slightly Conservative,Bachelor's,5.0
55293,2012,57.0,14.0,Catholic,Moderately Happy,Slightly Conservative,Associate/Junior College,5.0
55294,2012,61.0,13.0,Protestant,Moderately Happy,Liberal,Less Than High School,2.0
55295,2012,31.0,16.0,Catholic,Moderately Happy,Slightly Liberal,Bachelor's,3.0
55296,2012,62.0,19.0,Protestant,Moderately Happy,Slightly Conservative,Graduate,5.0
55297,2012,30.0,12.0,None,Very Happy,Liberal,High School,2.0
55298,2012,68.0,14.0,Protestant,Very Happy,Extremely Conservative,Associate/Junior College,7.0
55299,2012,50.0,16.0,Catholic,Moderately Happy,Moderate,High School,4.0
55300,2012,27.0,12.0,Protestant,Moderately Happy,Extremely Liberal,High School,1.0
55301,2012,30.0,16.0,Protestant,Moderately Happy,Liberal,Bachelor's,2.0
55302,2012,65.0,14.0,Catholic,Moderately Happy,Conservative,Associate/Junior College,6.0
55303,2012,65.0,18.0,Catholic,Moderately Happy,Slightly Liberal,Graduate,3.0
55304,2012,36.0,19.0,None,Moderately Happy,Liberal,Graduate,2.0
55305,2012,72.0,12.0,Protestant,Not Happy,Conservative,High School,6.0
55306,2012,27.0,12.0,Catholic,Moderately Happy,Slightly Liberal,High School,3.0
55307,2012,22.0,12.0,Catholic,Very Happy,Liberal,High School,2.0
55308,2012,33.0,9.0,Catholic,Moderately Happy,Moderate,Less Than High School,4.0
55309,2012,35.0,6.0,Catholic,Moderately Happy,Slightly Conservative,Less Than High School,5.0
55310,2012,54.0,11.0,Protestant,Very Happy,Slightly Liberal,Less Than High School,3.0
55311,2012,18.0,11.0,None,Very Happy,Moderate,Less Than High School,4.0
55312,2012,38.0,12.0,Protestant,Moderately Happy,Moderate,High School,4.0
55313,2012,67.0,12.0,Protestant,Moderately Happy,Conservative,High School,6.0
55314,2012,48.0,12.0,Protestant,Moderately Happy,Moderate,High School,4.0
55315,2012,64.0,19.0,None,Moderately Happy,Liberal,Graduate,2.0
55316,2012,89.0,19.0,Protestant,Moderately Happy,Moderate,Graduate,4.0
55317,2012,48.0,12.0,Catholic,Very Happy,Slightly Conservative,High School,5.0
55318,2012,44.0,6.0,Catholic,Very Happy,Moderate,Less Than High School,4.0
55319,2012,42.0,15.0,Catholic,Moderately Happy,Moderate,High School,4.0
55320,2012,26.0,16.0,Protestant,Very Happy,Moderate,Bachelor's,4.0
55321,2012,68.0,12.0,Protestant,Very Happy,Slightly Conservative,Less Than High School,5.0
55322,2012,61.0,14.0,Protestant,Very Happy,Slightly Liberal,High School,3.0
55323,2012,34.0,13.0,None,Very Happy,Moderate,High School,4.0
55324,2012,35.0,6.0,Catholic,Very Happy,Moderate,Less Than High School,4.0
55325,2012,53.0,17.0,Christian,Moderately Happy,Slightly Conservative,Bachelor's,5.0
55326,2012,32.0,12.0,Catholic,Very Happy,Moderate,High School,4.0
55327,2012,61.0,14.0,Catholic,Moderately Happy,Slightly Conservative,High School,5.0
55328,2012,28.0,10.0,Catholic,Moderately Happy,Moderate,High School,4.0
55329,2012,39.0,12.0,Catholic,Very Happy,Slightly Liberal,High School,3.0
55330,2012,61.0,16.0,Catholic,Very Happy,Slightly Conservative,Bachelor's,5.0
55331,2012,65.0,18.0,Catholic,Moderately Happy,Conservative,Graduate,6.0
55332,2012,34.0,18.0,Protestant,Very Happy,Slightly Conservative,Graduate,5.0
55333,2012,87.0,12.0,Catholic,Moderately Happy,Slightly Liberal,High School,3.0
55334,2012,24.0,16.0,Other,Moderately Happy,Moderate,High School,4.0
55335,2012,39.0,12.0,Christian,Moderately Happy,Extremely Liberal,High School,1.0
55336,2012,76.0,0.0,Protestant,Moderately Happy,Unknown,Less Than High School,
55337,2012,32.0,14.0,Protestant,Not Happy,Conservative,Associate/Junior College,6.0
55338,2012,54.0,16.0,Protestant,Moderately Happy,Moderate,Bachelor's,4.0
55339,2012,55.0,14.0,Christian,Not Happy,Moderate,Associate/Junior College,4.0
55340,2012,53.0,16.0,Protestant,Moderately Happy,Moderate,Bachelor's,4.0
55341,2012,62.0,14.0,Protestant,Moderately Happy,Moderate,High School,4.0
55342,2012,39.0,6.0,Catholic,Not Happy,Slightly Conservative,Less Than High School,5.0
55343,2012,30.0,12.0,Catholic,Moderately Happy,Moderate,High School,4.0
55344,2012,89.0,8.0,Protestant,Moderately Happy,Extremely Liberal,Less Than High School,1.0
55345,2012,30.0,10.0,None,Very Happy,Extremely Liberal,High School,1.0
55346,2012,35.0,12.0,Catholic,Very Happy,Slightly Liberal,High School,3.0
55347,2012,73.0,16.0,Catholic,Very Happy,Moderate,Bachelor's,4.0
55348,2012,69.0,16.0,Protestant,Moderately Happy,Slightly Conservative,Bachelor's,5.0
55349,2012,89.0,12.0,Protestant,Moderately Happy,Conservative,High School,6.0
55350,2012,55.0,16.0,Protestant,Very Happy,Moderate,Bachelor's,4.0
55351,2012,78.0,12.0,Catholic,Moderately Happy,Moderate,High School,4.0
55352,2012,43.0,17.0,Protestant,Moderately Happy,Moderate,Bachelor's,4.0
55353,2012,68.0,16.0,Protestant,Very Happy,Conservative,Bachelor's,6.0
55354,2012,71.0,16.0,Protestant,Very Happy,Conservative,Bachelor's,6.0
55355,2012,47.0,16.0,Protestant,Very Happy,Slightly Conservative,Bachelor's,5.0
55356,2012,68.0,18.0,Protestant,Moderately Happy,Slightly Liberal,Graduate,3.0
55357,2012,76.0,12.0,Protestant,Moderately Happy,Moderate,High School,4.0
55358,2012,55.0,16.0,Catholic,Very Happy,Slightly Conservative,Bachelor's,5.0
55359,2012,49.0,12.0,Christian,Very Happy,Conservative,High School,6.0
55360,2012,68.0,14.0,Protestant,Moderately Happy,Slightly Conservative,High School,5.0
55361,2012,47.0,11.0,Other,Very Happy,Conservative,Less Than High School,6.0
55362,2012,59.0,14.0,None,Very Happy,Liberal,Associate/Junior College,2.0
55363,2012,74.0,16.0,Protestant,Moderately Happy,Unknown,Bachelor's,
55364,2012,71.0,14.0,Protestant,Moderately Happy,Moderate,Associate/Junior College,4.0
55365,2012,32.0,12.0,Catholic,Moderately Happy,Slightly Conservative,High School,5.0
55366,2012,30.0,16.0,Protestant,Very Happy,Conservative,Bachelor's,6.0
55367,2012,38.0,16.0,None,Very Happy,Slightly Conservative,Graduate,5.0
55368,2012,41.0,16.0,None,Moderately Happy,Moderate,Bachelor's,4.0
55369,2012,62.0,20.0,Protestant,Very Happy,Moderate,Graduate,4.0
55370,2012,49.0,20.0,Protestant,Moderately Happy,Moderate,Graduate,4.0
55371,2012,52.0,16.0,Protestant,Moderately Happy,Slightly Liberal,Associate/Junior College,3.0
55372,2012,61.0,13.0,Catholic,Not Happy,Slightly Conservative,High School,5.0
55373,2012,52.0,16.0,None,Moderately Happy,Liberal,Bachelor's,2.0
55374,2012,33.0,14.0,Catholic,Moderately Happy,Conservative,Associate/Junior College,6.0
55375,2012,65.0,16.0,Unknown,Moderately Happy,Conservative,Bachelor's,6.0
55376,2012,55.0,12.0,None,Not Happy,Conservative,Less Than High School,6.0
55377,2012,45.0,14.0,Protestant,Very Happy,Moderate,Associate/Junior College,4.0
55378,2012,35.0,9.0,Catholic,Moderately Happy,Moderate,Less Than High School,4.0
55379,2012,36.0,14.0,Protestant,Moderately Happy,Extremely Liberal,Associate/Junior College,1.0
55380,2012,43.0,16.0,Protestant,Very Happy,Moderate,Graduate,4.0
55381,2012,83.0,13.0,Catholic,Not Happy,Liberal,High School,2.0
55382,2012,64.0,14.0,Protestant,Not Happy,Moderate,High School,4.0
55383,2012,38.0,18.0,None,Moderately Happy,Slightly Liberal,Graduate,3.0
55384,2012,25.0,14.0,Protestant,Moderately Happy,Slightly Conservative,High School,5.0
55385,2012,81.0,18.0,Protestant,Not Happy,Conservative,Graduate,6.0
55386,2012,23.0,12.0,None,Not Happy,Unknown,High School,
55387,2012,21.0,12.0,Catholic,Not Happy,Moderate,High School,4.0
55388,2012,56.0,12.0,Catholic,Moderately Happy,Moderate,High School,4.0
55389,2012,30.0,11.0,Protestant,Moderately Happy,Moderate,High School,4.0
55390,2012,69.0,12.0,Protestant,Not Happy,Moderate,High School,4.0
55391,2012,62.0,12.0,Catholic,Moderately Happy,Extremely Conservative,High School,7.0
55392,2012,39.0,16.0,Catholic,Moderately Happy,Moderate,Bachelor's,4.0
55393,2012,25.0,18.0,None,Not Happy,Liberal,Bachelor's,2.0
55394,2012,75.0,20.0,Protestant,Not Happy,Liberal,Graduate,2.0
55395,2012,46.0,18.0,None,Moderately Happy,Moderate,Graduate,4.0
55396,2012,57.0,6.0,Islam,Not Happy,Slightly Liberal,Less Than High School,3.0
55397,2012,20.0,13.0,Protestant,Moderately Happy,Slightly Conservative,High School,5.0
55398,2012,53.0,16.0,Protestant,Moderately Happy,Moderate,Bachelor's,4.0
55399,2012,53.0,16.0,Protestant,Moderately Happy,Conservative,Bachelor's,6.0
55400,2012,42.0,8.0,Protestant,Very Happy,Extremely Liberal,Less Than High School,1.0
55401,2012,63.0,18.0,Protestant,Very Happy,Moderate,Graduate,4.0
55402,2012,55.0,20.0,None,Moderately Happy,Liberal,Graduate,2.0
55403,2012,54.0,17.0,Protestant,Very Happy,Slightly Conservative,Graduate,5.0
55404,2012,77.0,20.0,Protestant,Very Happy,Slightly Conservative,Graduate,5.0
55405,2012,48.0,16.0,None,Unknown,Moderate,Bachelor's,4.0
55406,2012,52.0,4.0,Protestant,Moderately Happy,Unknown,Less Than High School,
55407,2012,31.0,13.0,Protestant,Moderately Happy,Slightly Conservative,High School,5.0
55408,2012,57.0,12.0,Protestant,Moderately Happy,Unknown,High School,
55409,2012,21.0,12.0,None,Not Happy,Slightly Liberal,High School,3.0
55410,2012,50.0,15.0,Protestant,Moderately Happy,Slightly Conservative,Associate/Junior College,5.0
55411,2012,38.0,16.0,Protestant,Very Happy,Moderate,Bachelor's,4.0
55412,2012,33.0,12.0,Unknown,Very Happy,Unknown,Less Than High School,
55413,2012,26.0,14.0,Protestant,Very Happy,Moderate,High School,4.0
55414,2012,33.0,14.0,None,Not Happy,Liberal,High School,2.0
55415,2012,44.0,17.0,Protestant,Moderately Happy,Slightly Liberal,Bachelor's,3.0
55416,2012,25.0,16.0,Protestant,Moderately Happy,Conservative,Bachelor's,6.0
55417,2012,27.0,16.0,None,Moderately Happy,Moderate,Bachelor's,4.0
55418,2012,27.0,16.0,Catholic,Very Happy,Moderate,Bachelor's,4.0
55419,2012,28.0,16.0,None,Very Happy,Slightly Liberal,Bachelor's,3.0
55420,2012,22.0,16.0,Catholic,Very Happy,Liberal,Bachelor's,2.0
55421,2012,48.0,17.0,Catholic,Moderately Happy,Liberal,Graduate,2.0
55422,2012,89.0,8.0,Catholic,Not Happy,Conservative,Less Than High School,6.0
55423,2012,49.0,17.0,Catholic,Moderately Happy,Conservative,Bachelor's,6.0
55424,2012,87.0,12.0,Catholic,Moderately Happy,Liberal,High School,2.0
55425,2012,64.0,17.0,None,Moderately Happy,Moderate,Bachelor's,4.0
55426,2012,41.0,15.0,Protestant,Moderately Happy,Conservative,Associate/Junior College,6.0
55427,2012,57.0,9.0,Catholic,Not Happy,Liberal,Less Than High School,2.0
